timestamp,open,high,low,close,adjusted close,volume,dividend amount
2017-03-31,2380.1299,2400.9800,2322.2500,2362.7200,2362.7200,81547770000,0.0000
2017-02-28,2285.5901,2371.5400,2271.6499,2363.6399,2363.6399,69162420000,0.0000
2017-01-31,2251.5701,2300.9900,2245.1299,2278.8701,2278.8701,70483180000,0.0000
2016-12-30,2200.1699,2277.5300,2187.4399,2238.8301,2238.8301,75251240000,0.0000
2016-11-30,2128.6799,2214.1001,2083.7900,2198.8101,2198.8101,88299760000,0.0000
2016-10-31,2164.3301,2169.6001,2114.7200,2126.1499,2126.1499,73196630000,0.0000
2016-09-30,2171.3301,2187.8701,2119.1201,2168.2700,2168.2700,77270240000,0.0000
2016-08-31,2173.1499,2193.8101,2147.5801,2170.9500,2170.9500,75610310000,0.0000
2016-07-29,2099.3401,2177.0901,2074.0200,2173.6001,2173.6001,69530250000,0.0000
2016-06-30,2093.9399,2120.5500,1991.6801,2098.8601,2098.8601,86852700000,0.0000
2016-05-31,2067.1699,2103.4800,2025.9100,2096.9500,2096.9500,78883600000,0.0000
2016-04-29,2056.6201,2111.0500,2033.8000,2065.3000,2065.3000,81124990000,0.0000
2016-03-31,1937.0900,2072.2100,1937.0900,2059.7400,2059.7400,92639420000,0.0000
2016-02-29,1936.9399,1962.9600,1810.1000,1932.2300,1932.2300,93049560000,0.0000
2016-01-29,2038.2000,2038.2000,1812.2900,1940.2400,1940.2400,92409770000,0.0000
2015-12-31,2082.9299,2104.2700,1993.2600,2043.9399,2043.9399,83649260000,0.0000
2015-11-30,2080.7600,2116.4800,2019.3900,2080.4099,2080.4099,75943590000,0.0000
2015-10-30,1919.6500,2094.3201,1893.7000,2079.3601,2079.3601,85844900000,0.0000
2015-09-30,1970.0900,2020.8600,1871.9100,1920.0300,1920.0300,79989370000,0.0000
2015-08-31,2104.4900,2112.6599,1867.0100,1972.1801,1972.1801,84626790000,0.0000
2015-07-31,2067.0000,2132.8201,2044.0200,2103.8401,2103.8401,77920590000,0.0000
2015-06-30,2108.6399,2129.8701,2056.3201,2063.1101,2063.1101,73213980000,0.0000
2015-05-29,2087.3799,2134.7200,2067.9299,2107.3899,2107.3899,65187730000,0.0000
2015-04-30,2067.6299,2125.9199,2048.3799,2085.5100,2085.5100,72060940000,0.0000
2015-03-31,2105.2300,2117.5200,2039.6899,2067.8899,2067.8899,76675850000,0.0000
2015-02-27,1996.6700,2119.5901,1980.9000,2104.5000,2104.5000,68775560000,0.0000
2015-01-30,2058.8999,2072.3601,1988.1200,1994.9900,1994.9900,77330040000,0.0000
2014-12-31,2065.7800,2093.5500,1972.5601,2058.8999,2058.8999,80743820000,0.0000
2014-11-28,2018.2100,2075.7600,2001.0100,2067.5601,2067.5601,63600190000,0.0000
2014-10-31,1971.4399,2018.1899,1820.6600,2018.0500,2018.0500,93714040000,0.0000
2014-09-30,2004.0699,2019.2600,1964.0400,1972.2900,1972.2900,66706000000,0.0000
2014-08-29,1929.8000,2005.0400,1904.7800,2003.3700,2003.3700,58131140000,0.0000
2014-07-31,1962.2900,1991.3900,1930.6700,1930.6700,1930.6700,66524690000,0.0000
2014-06-30,1923.8700,1968.1700,1915.9800,1960.2300,1960.2300,63283380000,0.0000
2014-05-30,1884.3900,1924.0300,1859.7900,1923.5699,1923.5699,63623630000,0.0000
2014-04-30,1873.9600,1897.2800,1814.3600,1883.9500,1883.9500,71595810000,0.0000
2014-03-31,1857.6801,1883.9700,1834.4399,1872.3400,1872.3400,71885030000,0.0000
2014-02-28,1782.6801,1867.9200,1737.9200,1859.4500,1859.4500,69725590000,0.0000
2014-01-31,1845.8600,1850.8400,1770.4500,1782.5900,1782.5900,75871910000,0.0000
2013-12-31,1806.5500,1849.4399,1767.9900,1848.3600,1848.3600,64958820000,0.0000
2013-11-29,1758.7000,1813.5500,1746.2000,1805.8101,1805.8101,63628190000,0.0000
2013-10-31,1682.4100,1775.2200,1646.4700,1756.5400,1756.5400,76647400000,0.0000
2013-09-30,1635.9500,1729.8600,1633.4100,1681.5500,1681.5500,66174410000,0.0000
2013-08-30,1689.4200,1709.6700,1627.4700,1632.9700,1632.9700,64802810000,0.0000
2013-07-31,1609.7800,1698.7800,1604.5699,1685.7300,1685.7300,68106820000,0.0000
2013-06-28,1631.7100,1654.1899,1560.3300,1606.2800,1606.2800,74946790000,0.0000
2013-05-31,1597.5500,1687.1801,1581.2800,1630.7400,1630.7400,76447250000,0.0000
2013-04-30,1569.1801,1597.5699,1536.0300,1597.5699,1597.5699,77098000000,0.0000
2013-03-28,1514.6801,1570.2800,1501.4800,1569.1899,1569.1899,68527110000,0.0000
2013-02-28,1498.1100,1530.9399,1485.0100,1514.6801,1514.6801,69273480000,0.0000
2013-01-31,1426.1899,1509.9399,1426.1899,1498.1100,1498.1100,75848510000,0.0000
2012-12-31,1416.3400,1448.0000,1398.1100,1426.1899,1426.1899,66388180000,0.0000
2012-11-30,1412.2000,1434.2700,1343.3500,1416.1801,1416.1801,71489310000,0.0000
2012-10-31,1440.9000,1470.9600,1403.2800,1412.1600,1412.1600,71752320000,0.0000
2012-09-28,1406.5400,1474.5100,1396.5601,1440.6700,1440.6700,69784280000,0.0000
2012-08-31,1379.3199,1426.6801,1354.6500,1406.5800,1406.5800,70283810000,0.0000
