Date,Open,High,Low,Close,adjusted_close,volume,dividend_amount,split_coefficient
11/21/2018,2657.74,2670.73,2649.8201,2649.9299,2649.9299,3233550000,0,1
11/20/2018,2654.6001,2669.4399,2631.52,2641.8899,2641.8899,4357900000,0,1
11/19/2018,2730.74,2733.1599,2681.0901,2690.73,2690.73,3772900000,0,1
11/16/2018,2718.54,2746.75,2712.1599,2736.27,2736.27,3975180000,0,1
11/15/2018,2693.52,2735.3799,2670.75,2730.2,2730.2,4179140000,0,1
11/14/2018,2737.8999,2746.8,2685.75,2701.5801,2701.5801,4402370000,0,1
11/13/2018,2730.05,2754.6001,2714.98,2722.1799,2722.1799,4091440000,0,1
11/12/2018,2773.9299,2775.99,2722,2726.22,2726.22,3670930000,0,1
11/9/2018,2794.1001,2794.1001,2764.24,2781.01,2781.01,4019090000,0,1
11/8/2018,2806.3799,2814.75,2794.99,2806.8301,2806.8301,3630490000,0,1
11/7/2018,2774.1299,2815.1499,2774.1299,2813.8899,2813.8899,3914750000,0,1
11/6/2018,2738.3999,2756.8201,2737.0801,2755.45,2755.45,3510860000,0,1
11/5/2018,2726.3701,2744.27,2717.9399,2738.3101,2738.3101,3623320000,0,1
11/2/2018,2745.45,2756.55,2700.4399,2723.0601,2723.0601,4237930000,0,1
11/1/2018,2717.5801,2741.6699,2708.8501,2740.3701,2740.3701,4708420000,0,1
10/31/2018,2705.6001,2736.6899,2705.6001,2711.74,2711.74,5112420000,0,1
10/30/2018,2640.6799,2685.4299,2635.3401,2682.6299,2682.6299,5106380000,0,1
10/29/2018,2682.6499,2706.8501,2603.54,2641.25,2641.25,4673700000,0,1
10/26/2018,2667.8601,2692.3799,2628.1599,2658.6899,2658.6899,4803150000,0,1
10/25/2018,2674.8799,2722.7,2667.8401,2705.5701,2705.5701,4634770000,0,1
10/24/2018,2737.8701,2742.5901,2651.8899,2656.1001,2656.1001,4709310000,0,1
10/23/2018,2721.03,2753.5901,2691.4299,2740.6899,2740.6899,4348580000,0,1
10/22/2018,2773.9399,2778.9399,2749.22,2755.8799,2755.8799,3307140000,0,1
10/19/2018,2775.6599,2797.77,2760.27,2767.78,2767.78,3566490000,0,1
10/18/2018,2802,2806.04,2755.1799,2768.78,2768.78,3616440000,0,1
10/17/2018,2811.6699,2816.9399,2781.8101,2809.21,2809.21,3321710000,0,1
10/16/2018,2767.05,2813.46,2766.9099,2809.9199,2809.9199,3428340000,0,1
10/15/2018,2763.8301,2775.99,2749.03,2750.79,2750.79,3300140000,0,1
10/12/2018,2770.54,2775.77,2729.4399,2767.1299,2767.1299,3966040000,0,1
10/11/2018,2776.8701,2795.1399,2710.51,2728.3701,2728.3701,4890630000,0,1
10/10/2018,2873.8999,2874.02,2784.8601,2785.6799,2785.6799,4501250000,0,1
10/9/2018,2882.51,2894.8301,2874.27,2880.3401,2880.3401,3520500000,0,1
10/8/2018,2877.53,2889.45,2862.0801,2884.4299,2884.4299,3330320000,0,1
10/5/2018,2902.54,2909.6399,2869.29,2885.5701,2885.5701,3328980000,0,1
10/4/2018,2919.3501,2919.78,2883.9199,2901.6101,2901.6101,3496860000,0,1
10/3/2018,2931.6899,2939.8601,2921.3601,2925.51,2925.51,3598710000,0,1
10/2/2018,2923.8,2931.4199,2919.3701,2923.4299,2923.4299,3401880000,0,1
10/1/2018,2926.29,2937.0601,2917.9099,2924.5901,2924.5901,3364190000,0,1
9/28/2018,2910.03,2920.53,2907.5,2913.98,2913.98,3432300000,0,1
9/27/2018,2911.6499,2927.22,2909.27,2914,2914,3060850000,0,1
9/26/2018,2916.98,2931.1499,2903.28,2905.97,2905.97,3388620000,0,1
9/25/2018,2921.75,2923.95,2913.7,2915.5601,2915.5601,3285480000,0,1
9/24/2018,2921.8301,2923.79,2912.6299,2919.3701,2919.3701,3372210000,0,1
9/21/2018,2936.76,2940.9099,2927.1101,2929.6699,2929.6699,5607610000,0,1
9/20/2018,2919.73,2934.8,2919.73,2930.75,2930.75,3337730000,0,1
9/19/2018,2906.6001,2912.3601,2903.8201,2907.95,2907.95,3280020000,0,1
9/18/2018,2890.74,2911.1699,2890.4299,2904.3101,2904.3101,3074610000,0,1
9/17/2018,2903.8301,2904.6499,2886.1599,2888.8,2888.8,2947760000,0,1
9/14/2018,2906.3799,2908.3,2895.77,2904.98,2904.98,3149800000,0,1
9/13/2018,2896.8501,2906.76,2896.3899,2904.1799,2904.1799,3254930000,0,1
9/12/2018,2888.29,2894.6499,2879.2,2888.9199,2888.9199,3264930000,0,1
9/11/2018,2871.5701,2892.52,2866.78,2887.8899,2887.8899,2899660000,0,1
9/10/2018,2881.3899,2886.9299,2875.9399,2877.1299,2877.1299,2731400000,0,1
9/7/2018,2868.26,2883.8101,2864.1201,2871.6799,2871.6799,2946270000,0,1
9/6/2018,2888.6399,2892.05,2867.29,2878.05,2878.05,3139590000,0,1
9/5/2018,2891.5901,2894.21,2876.9199,2888.6001,2888.6001,3241250000,0,1
9/4/2018,2896.96,2900.1799,2885.1299,2896.72,2896.72,3077060000,0,1
8/31/2018,2898.3701,2906.3201,2891.73,2901.52,2901.52,2880260000,0,1
