Date,Open,High,Low,Close,Adjusted Close,Volume,dividend_amount,split_coefficient
2013-01-16,13534.8896,13534.8896,13468.96,13511.2305,13511.2305,118540000,0,1
2013-01-15,13507.3203,13546.3701,13445.7998,13534.8896,13534.8896,102280000,0,1
2013-01-14,13488.4297,13520.1797,13459.8398,13507.3203,13507.3203,118460000,0,1
2013-01-11,13471.4502,13496.6797,13439.9697,13488.4297,13488.4297,119200000,0,1
2013-01-10,13391.8203,13478.2002,13382.29,13471.2197,13471.2197,133520000,0,1
2013-01-09,13329.9199,13416.5498,13329.0801,13390.5098,13390.5098,123070000,0,1
2013-01-08,13377.4199,13377.4199,13293.1299,13328.8496,13328.8496,129570000,0,1
2013-01-07,13436.1299,13436.1299,13343.3203,13384.29,13384.29,113120000,0,1
2013-01-04,13391.0498,13447.1104,13376.2305,13435.21,13435.21,107590000,0,1
2013-01-03,13413.0098,13430.5996,13358.2998,13391.3604,13391.3604,129630000,0,1
2013-01-02,13104.2998,13412.71,13104.2998,13412.5498,13412.5498,161430000,0,1
2012-12-31,12938.1904,13109.1299,12883.8896,13104.1396,13104.1396,145740000,0,1
2012-12-28,13095.0801,13095.46,12926.8604,12938.1104,12938.1104,85980000,0,1
2012-12-27,13114.9697,13141.7402,12964.0801,13096.3096,13096.3096,100160000,0,1
2012-12-26,13138.8496,13174.8799,13076.8701,13114.5898,13114.5898,79410000,0,1
2012-12-24,13190.1504,13190.3799,13128.5498,13138.9297,13138.9297,47710000,0,1
2012-12-21,13309.9502,13309.9502,13122.5303,13190.8398,13190.8398,413270000,0,1
2012-12-20,13246.6699,13314.6396,13216.0303,13311.7197,13311.7197,119800000,0,1
2012-12-19,13351.04,13357.7002,13251.7402,13251.9697,13251.9697,149020000,0,1
2012-12-18,13236.6104,13365.8604,13232.5801,13350.96,13350.96,152920000,0,1
2012-12-17,13135.1699,13244.3301,13134.6299,13235.3896,13235.3896,142980000,0,1
2012-12-14,13170.7998,13190.4102,13118.46,13135.0098,13135.0098,117620000,0,1
2012-12-13,13241.3799,13264.4102,13147.1904,13170.7197,13170.7197,101190000,0,1
2012-12-12,13250.0498,13329.4404,13227.4404,13245.4502,13245.4502,127510000,0,1
2012-12-11,13170.3398,13306.5703,13170.3398,13248.4404,13248.4404,124510000,0,1
2012-12-10,13154.8896,13195.3496,13139.0801,13169.8799,13169.8799,118530000,0,1
2012-12-07,13072.8701,13157.2803,13072.8701,13155.1299,13155.1299,124130000,0,1
2012-12-06,13026.1904,13076.8799,13007.8398,13074.04,13074.04,116850000,0,1
2012-12-05,12948.96,13089.1104,12923.4404,13034.4902,13034.4902,161230000,0,1
2012-12-04,12966.4502,13022.5098,12940.0703,12951.7803,12951.7803,125290000,0,1
2012-12-03,13027.7305,13087.3203,12959.4199,12965.5996,12965.5996,112900000,0,1
2012-11-30,13022.0498,13053.7402,12988.6797,13025.5801,13025.5801,171070000,0,1
2012-11-29,12977.3496,13062.5596,12961.9199,13021.8203,13021.8203,113620000,0,1
2012-11-28,12875.5596,12989.0996,12765.3203,12985.1104,12985.1104,131000000,0,1
2012-11-27,12963.3799,12980.1904,12868.2598,12878.1299,12878.1299,117900000,0,1
2012-11-26,13008.4502,13008.4502,12900.1699,12967.3701,12967.3701,114360000,0,1
2012-11-23,12833.1299,13011.4502,12832.9805,13009.5303,13009.5303,61110000,0,1
2012-11-21,12788.3604,12845.9902,12786.1299,12836.8896,12836.8896,97300000,0,1
2012-11-20,12790.8896,12808.5596,12701.0703,12788.5098,12788.5098,134160000,0,1
2012-11-19,12590.2305,12796.1904,12590.2305,12795.96,12795.96,136910000,0,1
2012-11-16,12542.3096,12604.1699,12471.4902,12588.3096,12588.3096,197110000,0,1
2012-11-15,12571.0996,12600.5898,12496.5596,12542.3799,12542.3799,129150000,0,1
2012-11-14,12746.54,12797.7305,12542.6797,12570.9502,12570.9502,162180000,0,1
2012-11-13,12808.71,12898.25,12748.5098,12756.1797,12756.1797,142200000,0,1
2012-11-12,12815.9297,12861.2803,12783,12815.0801,12815.0801,62360000,0,1
2012-11-09,12811.1699,12890.1904,12743.3896,12815.3896,12815.3896,131670000,0,1
2012-11-08,12932.8096,12980.2305,12811.2402,12811.3203,12811.3203,138350000,0,1
2012-11-07,13228.2402,13228.3203,12876.5996,12932.7305,12932.7305,164250000,0,1
2012-11-06,13112.9004,13290.75,13112.9004,13245.6797,13245.6797,105710000,0,1
2012-11-05,13092.2803,13140.5801,13038.71,13112.4404,13112.4404,95350000,0,1
2012-11-02,13232.6201,13289.4502,13076.5703,13093.1602,13093.1602,137660000,0,1
2012-11-01,13099.1904,13273.71,13099.1104,13232.6201,13232.6201,140510000,0,1
2012-10-31,13107.4404,13189.0801,13052.0703,13096.46,13096.46,138160000,0,1
2012-10-26,13104.2197,13151.7197,13040.1699,13107.21,13107.21,134640000,0,1
2012-10-25,13079.6396,13214.1104,13017.3701,13103.6797,13103.6797,114590000,0,1
2012-10-24,13103.5303,13155.21,13063.6299,13077.3398,13077.3398,110670000,0,1
2012-10-23,13344.9004,13344.9004,13083.2803,13102.5303,13102.5303,122220000,0,1
2012-10-22,13344.2803,13368.5498,13235.1504,13345.8896,13345.8896,121880000,0,1
2012-10-19,13545.3301,13545.4902,13312.2197,13343.5098,13343.5098,239080000,0,1
2012-10-18,13553.2402,13588.7305,13510.9297,13548.9404,13548.9404,128410000,0,1
2012-10-17,13539.6299,13561.6504,13468.9004,13557,13557,135570000,0,1
2012-10-16,13423.8398,13556.3701,13423.7598,13551.7803,13551.7803,113450000,0,1
2012-10-15,13329.54,13437.6602,13325.9297,13424.2305,13424.2305,114880000,0,1
2012-10-12,13325.6201,13401.3203,13296.4297,13328.8496,13328.8496,113740000,0,1
2012-10-11,13346.2803,13428.4902,13326.1201,13326.3896,13326.3896,86630000,0,1
2012-10-10,13473.5303,13478.8301,13327.6201,13344.9697,13344.9697,101120000,0,1
2012-10-09,13582.8799,13592.3301,13473.3096,13473.5303,13473.5303,103630000,0,1
2012-10-08,13589.2598,13610.3799,13552.0898,13583.6504,13583.6504,71300000,0,1
2012-10-05,13569.1797,13661.8701,13568.75,13610.1504,13610.1504,115500000,0,1
2012-10-04,13495.1797,13594.3301,13495.1797,13575.3604,13575.3604,106390000,0,1
2012-10-03,13479.21,13536.2695,13439.1201,13494.6104,13494.6104,103890000,0,1
2012-10-02,13515.2998,13567.0596,13424.9199,13482.3604,13482.3604,90730000,0,1
2012-10-01,13437.6602,13598.25,13437.6602,13515.1104,13515.1104,106120000,0,1
2012-09-28,13485.8896,13487.6602,13367.2695,13437.1299,13437.1299,146950000,0,1
2012-09-27,13413.4697,13522.8301,13413.4697,13485.9697,13485.9697,113990000,0,1
2012-09-26,13458.6299,13480.3701,13406.9102,13413.5098,13413.5098,124350000,0,1
2012-09-25,13559.9199,13620.21,13457.25,13457.5498,13457.5498,138630000,0,1
2012-09-24,13577.8496,13601.9004,13521.6797,13558.9199,13558.9199,120370000,0,1
2012-09-21,13597.2402,13647.0996,13571.5303,13579.4697,13579.4697,429610000,0,1
2012-09-20,13575.1699,13599.0195,13503,13596.9297,13596.9297,117910000,0,1
2012-09-19,13565.4102,13626.4805,13556.7402,13577.96,13577.96,116210000,0,1
2012-09-18,13552.3301,13582.1201,13517.8096,13564.6396,13564.6396,120720000,0,1
2012-09-17,13588.5703,13593.1504,13526.6699,13553.0996,13553.0996,128020000,0,1
2012-09-14,13540.4004,13653.2402,13533.9404,13593.3701,13593.3701,185160000,0,1
2012-09-13,13329.71,13573.3301,13325.1104,13539.8604,13539.8604,151770000,0,1
2012-09-12,13321.6201,13373.6201,13317.5195,13333.3496,13333.3496,111520000,0,1
2012-09-11,13254.5996,13354.3398,13253.21,13323.3604,13323.3604,104920000,0,1
2012-09-10,13308.5596,13324.0996,13251.3896,13254.29,13254.29,123810000,0,1
2012-09-07,13289.5303,13320.2695,13266.2197,13306.6396,13306.6396,142210000,0,1
2012-09-06,13045.2305,13294.1299,13045.0801,13292,13292,128650000,0,1
2012-09-05,13036.0898,13095.9102,13018.7402,13047.4805,13047.4805,92550000,0,1
2012-09-04,13092.1504,13092.3896,12977.0898,13035.9404,13035.9404,103920000,0,1
2012-08-31,13002.7197,13151.8701,13002.6396,13090.8398,13090.8398,119780000,0,1
2012-08-30,13101.29,13101.3701,12978.9102,13000.71,13000.71,89980000,0,1
2012-08-29,13103.46,13144.8096,13081.2695,13107.4805,13107.4805,91530000,0,1
2012-08-28,13122.7402,13147.3203,13081.1201,13102.9902,13102.9902,81630000,0,1
2012-08-27,13157.7402,13176.1699,13115.46,13124.6699,13124.6699,96070000,0,1
2012-08-24,13052.8203,13175.5098,13027.2002,13157.9697,13157.9697,88030000,0,1
2012-08-23,13171.3701,13171.3701,13046.46,13057.46,13057.46,108800000,0,1
2012-08-22,13198.3096,13205.0596,13120.3398,13172.7598,13172.7598,111220000,0,1
2012-08-21,13272.0996,13330.7598,13186.5996,13203.5801,13203.5801,117060000,0,1
2012-08-20,13274.5801,13276.1504,13230.0596,13271.6396,13271.6396,87590000,0,1
2012-08-17,13251.2002,13281.3203,13244.8496,13275.2002,13275.2002,138550000,0,1
2012-08-16,13163.2402,13269.3496,13145.8496,13250.1104,13250.1104,114580000,0,1
2012-08-15,13157.4697,13192.8896,13138.2305,13164.7803,13164.7803,77130000,0,1
2012-08-14,13168.1104,13223.0098,13142.0996,13172.1396,13172.1396,84430000,0,1
2012-08-13,13204.9297,13205.0098,13112.9404,13169.4297,13169.4297,67550000,0,1
2012-08-10,13163.1504,13208.2197,13094.96,13207.9502,13207.9502,86640000,0,1
